id,tier,tags,prompt,required_labels,n_properties,property_types
tpl-t1-rt-JKL-raJ-5-12,1,templated|triangle|right-angle,I need a drawing of a right triangle JKL with the right angle at J. The two legs adjacent to J have lengths 5 and 12. Label all three vertices and mark the right angle at J.,J|K|L,2,right_angle|mark_present
tpl-t1-rt-JKL-raK-3-4,1,templated|triangle|right-angle,Draw a right triangle JKL with the right angle at K. The two legs adjacent to K have lengths 3 and 4. Label all three vertices and mark the right angle at K.,J|K|L,2,right_angle|mark_present
tpl-t1-rt-JKL-raK-5-12,1,templated|triangle|right-angle,Sketch a right triangle JKL with the right angle at K. The two legs adjacent to K have lengths 5 and 12. Label all three vertices and mark the right angle at K.,J|K|L,2,right_angle|mark_present
tpl-t1-rt-JKL-raL-3-4,1,templated|triangle|right-angle,Construct a right triangle JKL with the right angle at L. The two legs adjacent to L have lengths 3 and 4. Label all three vertices and mark the right angle at L.,J|K|L,2,right_angle|mark_present
tpl-t1-rt-JKL-raL-5-12,1,templated|triangle|right-angle,Make a diagram of a right triangle JKL with the right angle at L. The two legs adjacent to L have lengths 5 and 12. Label all three vertices and mark the right angle at L.,J|K|L,2,right_angle|mark_present
tpl-t1-rt-MNO-raM-3-4,1,templated|triangle|right-angle,Show a right triangle MNO with the right angle at M. The two legs adjacent to M have lengths 3 and 4. Label all three vertices and mark the right angle at M.,M|N|O,2,right_angle|mark_present
tpl-t1-rt-MNO-raM-5-12,1,templated|triangle|right-angle,Create a diagram showing a right triangle MNO with the right angle at M. The two legs adjacent to M have lengths 5 and 12. Label all three vertices and mark the right angle at M.,M|N|O,2,right_angle|mark_present
tpl-t1-rt-MNO-raN-3-4,1,templated|triangle|right-angle,I need a drawing of a right triangle MNO with the right angle at N. The two legs adjacent to N have lengths 3 and 4. Label all three vertices and mark the right angle at N.,M|N|O,2,right_angle|mark_present
tpl-t1-rt-MNO-raN-5-12,1,templated|triangle|right-angle,Draw a right triangle MNO with the right angle at N. The two legs adjacent to N have lengths 5 and 12. Label all three vertices and mark the right angle at N.,M|N|O,2,right_angle|mark_present
tpl-t1-rt-MNO-raO-3-4,1,templated|triangle|right-angle,Sketch a right triangle MNO with the right angle at O. The two legs adjacent to O have lengths 3 and 4. Label all three vertices and mark the right angle at O.,M|N|O,2,right_angle|mark_present
tpl-t1-rt-MNO-raO-5-12,1,templated|triangle|right-angle,Construct a right triangle MNO with the right angle at O. The two legs adjacent to O have lengths 5 and 12. Label all three vertices and mark the right angle at O.,M|N|O,2,right_angle|mark_present
tpl-t1-rt-PQR-raP-3-4,1,templated|triangle|right-angle,Make a diagram of a right triangle PQR with the right angle at P. The two legs adjacent to P have lengths 3 and 4. Label all three vertices and mark the right angle at P.,P|Q|R,2,right_angle|mark_present
tpl-t1-rt-PQR-raP-5-12,1,templated|triangle|right-angle,Show a right triangle PQR with the right angle at P. The two legs adjacent to P have lengths 5 and 12. Label all three vertices and mark the right angle at P.,P|Q|R,2,right_angle|mark_present
tpl-t1-rt-PQR-raQ-3-4,1,templated|triangle|right-angle,Create a diagram showing a right triangle PQR with the right angle at Q. The two legs adjacent to Q have lengths 3 and 4. Label all three vertices and mark the right angle at Q.,P|Q|R,2,right_angle|mark_present
tpl-t1-rt-PQR-raQ-5-12,1,templated|triangle|right-angle,I need a drawing of a right triangle PQR with the right angle at Q. The two legs adjacent to Q have lengths 5 and 12. Label all three vertices and mark the right angle at Q.,P|Q|R,2,right_angle|mark_present
tpl-t1-rt-PQR-raR-3-4,1,templated|triangle|right-angle,Draw a right triangle PQR with the right angle at R. The two legs adjacent to R have lengths 3 and 4. Label all three vertices and mark the right angle at R.,P|Q|R,2,right_angle|mark_present
tpl-t1-rt-PQR-raR-5-12,1,templated|triangle|right-angle,Sketch a right triangle PQR with the right angle at R. The two legs adjacent to R have lengths 5 and 12. Label all three vertices and mark the right angle at R.,P|Q|R,2,right_angle|mark_present
tpl-t1-rt-STU-raS-3-4,1,templated|triangle|right-angle,Construct a right triangle STU with the right angle at S. The two legs adjacent to S have lengths 3 and 4. Label all three vertices and mark the right angle at S.,S|T|U,2,right_angle|mark_present
tpl-t1-rt-STU-raS-5-12,1,templated|triangle|right-angle,Make a diagram of a right triangle STU with the right angle at S. The two legs adjacent to S have lengths 5 and 12. Label all three vertices and mark the right angle at S.,S|T|U,2,right_angle|mark_present
tpl-t1-rt-STU-raT-3-4,1,templated|triangle|right-angle,Show a right triangle STU with the right angle at T. The two legs adjacent to T have lengths 3 and 4. Label all three vertices and mark the right angle at T.,S|T|U,2,right_angle|mark_present
tpl-t1-rt-STU-raT-5-12,1,templated|triangle|right-angle,Create a diagram showing a right triangle STU with the right angle at T. The two legs adjacent to T have lengths 5 and 12. Label all three vertices and mark the right angle at T.,S|T|U,2,right_angle|mark_present
tpl-t1-rt-STU-raU-3-4,1,templated|triangle|right-angle,I need a drawing of a right triangle STU with the right angle at U. The two legs adjacent to U have lengths 3 and 4. Label all three vertices and mark the right angle at U.,S|T|U,2,right_angle|mark_present
tpl-t1-rt-STU-raU-5-12,1,templated|triangle|right-angle,Draw a right triangle STU with the right angle at U. The two legs adjacent to U have lengths 5 and 12. Label all three vertices and mark the right angle at U.,S|T|U,2,right_angle|mark_present
tpl-t1-rt-XYZ-raX-3-4,1,templated|triangle|right-angle,Sketch a right triangle XYZ with the right angle at X. The two legs adjacent to X have lengths 3 and 4. Label all three vertices and mark the right angle at X.,X|Y|Z,2,right_angle|mark_present
tpl-t1-rt-XYZ-raX-5-12,1,templated|triangle|right-angle,Construct a right triangle XYZ with the right angle at X. The two legs adjacent to X have lengths 5 and 12. Label all three vertices and mark the right angle at X.,X|Y|Z,2,right_angle|mark_present
tpl-t1-rt-XYZ-raY-3-4,1,templated|triangle|right-angle,Make a diagram of a right triangle XYZ with the right angle at Y. The two legs adjacent to Y have lengths 3 and 4. Label all three vertices and mark the right angle at Y.,X|Y|Z,2,right_angle|mark_present
tpl-t1-rt-XYZ-raY-5-12,1,templated|triangle|right-angle,Show a right triangle XYZ with the right angle at Y. The two legs adjacent to Y have lengths 5 and 12. Label all three vertices and mark the right angle at Y.,X|Y|Z,2,right_angle|mark_present
tpl-t1-rt-XYZ-raZ-3-4,1,templated|triangle|right-angle,Create a diagram showing a right triangle XYZ with the right angle at Z. The two legs adjacent to Z have lengths 3 and 4. Label all three vertices and mark the right angle at Z.,X|Y|Z,2,right_angle|mark_present
tpl-t1-rt-XYZ-raZ-5-12,1,templated|triangle|right-angle,I need a drawing of a right triangle XYZ with the right angle at Z. The two legs adjacent to Z have lengths 5 and 12. Label all three vertices and mark the right angle at Z.,X|Y|Z,2,right_angle|mark_present
tpl-t1-rt-EFG-raE-3-4,1,templated|triangle|right-angle,Draw a right triangle EFG with the right angle at E. The two legs adjacent to E have lengths 3 and 4. Label all three vertices and mark the right angle at E.,E|F|G,2,right_angle|mark_present
tpl-t1-rt-EFG-raE-5-12,1,templated|triangle|right-angle,Sketch a right triangle EFG with the right angle at E. The two legs adjacent to E have lengths 5 and 12. Label all three vertices and mark the right angle at E.,E|F|G,2,right_angle|mark_present
tpl-t1-rt-EFG-raF-3-4,1,templated|triangle|right-angle,Construct a right triangle EFG with the right angle at F. The two legs adjacent to F have lengths 3 and 4. Label all three vertices and mark the right angle at F.,E|F|G,2,right_angle|mark_present
tpl-t1-rt-EFG-raF-5-12,1,templated|triangle|right-angle,Make a diagram of a right triangle EFG with the right angle at F. The two legs adjacent to F have lengths 5 and 12. Label all three vertices and mark the right angle at F.,E|F|G,2,right_angle|mark_present
tpl-t1-rt-EFG-raG-3-4,1,templated|triangle|right-angle,Show a right triangle EFG with the right angle at G. The two legs adjacent to G have lengths 3 and 4. Label all three vertices and mark the right angle at G.,E|F|G,2,right_angle|mark_present
tpl-t1-rt-EFG-raG-5-12,1,templated|triangle|right-angle,Create a diagram showing a right triangle EFG with the right angle at G. The two legs adjacent to G have lengths 5 and 12. Label all three vertices and mark the right angle at G.,E|F|G,2,right_angle|mark_present
tpl-t1-rt-RST-raR-3-4,1,templated|triangle|right-angle,I need a drawing of a right triangle RST with the right angle at R. The two legs adjacent to R have lengths 3 and 4. Label all three vertices and mark the right angle at R.,R|S|T,2,right_angle|mark_present
tpl-t1-rt-RST-raR-5-12,1,templated|triangle|right-angle,Draw a right triangle RST with the right angle at R. The two legs adjacent to R have lengths 5 and 12. Label all three vertices and mark the right angle at R.,R|S|T,2,right_angle|mark_present
tpl-t1-rt-RST-raS-3-4,1,templated|triangle|right-angle,Sketch a right triangle RST with the right angle at S. The two legs adjacent to S have lengths 3 and 4. Label all three vertices and mark the right angle at S.,R|S|T,2,right_angle|mark_present
tpl-t1-rt-RST-raS-5-12,1,templated|triangle|right-angle,Construct a right triangle RST with the right angle at S. The two legs adjacent to S have lengths 5 and 12. Label all three vertices and mark the right angle at S.,R|S|T,2,right_angle|mark_present
tpl-t1-rt-RST-raT-3-4,1,templated|triangle|right-angle,Make a diagram of a right triangle RST with the right angle at T. The two legs adjacent to T have lengths 3 and 4. Label all three vertices and mark the right angle at T.,R|S|T,2,right_angle|mark_present
tpl-t1-rt-RST-raT-5-12,1,templated|triangle|right-angle,Show a right triangle RST with the right angle at T. The two legs adjacent to T have lengths 5 and 12. Label all three vertices and mark the right angle at T.,R|S|T,2,right_angle|mark_present
tpl-t1-rt-UVW-raU-3-4,1,templated|triangle|right-angle,Create a diagram showing a right triangle UVW with the right angle at U. The two legs adjacent to U have lengths 3 and 4. Label all three vertices and mark the right angle at U.,U|V|W,2,right_angle|mark_present
tpl-t1-rt-UVW-raU-5-12,1,templated|triangle|right-angle,I need a drawing of a right triangle UVW with the right angle at U. The two legs adjacent to U have lengths 5 and 12. Label all three vertices and mark the right angle at U.,U|V|W,2,right_angle|mark_present
tpl-t1-rt-UVW-raV-3-4,1,templated|triangle|right-angle,Draw a right triangle UVW with the right angle at V. The two legs adjacent to V have lengths 3 and 4. Label all three vertices and mark the right angle at V.,U|V|W,2,right_angle|mark_present
tpl-t1-rt-UVW-raV-5-12,1,templated|triangle|right-angle,Sketch a right triangle UVW with the right angle at V. The two legs adjacent to V have lengths 5 and 12. Label all three vertices and mark the right angle at V.,U|V|W,2,right_angle|mark_present
tpl-t1-rt-UVW-raW-3-4,1,templated|triangle|right-angle,Construct a right triangle UVW with the right angle at W. The two legs adjacent to W have lengths 3 and 4. Label all three vertices and mark the right angle at W.,U|V|W,2,right_angle|mark_present
tpl-t1-rt-UVW-raW-5-12,1,templated|triangle|right-angle,Make a diagram of a right triangle UVW with the right angle at W. The two legs adjacent to W have lengths 5 and 12. Label all three vertices and mark the right angle at W.,U|V|W,2,right_angle|mark_present
tpl-t1-eq-ABC-s3,1,templated|triangle|equilateral,Draw an equilateral triangle ABC where every side has length 3. Label all three vertices.,A|B|C,1,equal_lengths
tpl-t1-eq-ABC-s4,1,templated|triangle|equilateral,Sketch an equilateral triangle ABC where every side has length 4. Label all three vertices.,A|B|C,1,equal_lengths
tpl-t1-eq-ABC-s5,1,templated|triangle|equilateral,Construct an equilateral triangle ABC where every side has length 5. Label all three vertices.,A|B|C,1,equal_lengths
tpl-t1-eq-DEF-s3,1,templated|triangle|equilateral,Make a diagram of an equilateral triangle DEF where every side has length 3. Label all three vertices.,D|E|F,1,equal_lengths
tpl-t1-eq-DEF-s4,1,templated|triangle|equilateral,Show an equilateral triangle DEF where every side has length 4. Label all three vertices.,D|E|F,1,equal_lengths
tpl-t1-eq-DEF-s5,1,templated|triangle|equilateral,Create a diagram showing an equilateral triangle DEF where every side has length 5. Label all three vertices.,D|E|F,1,equal_lengths
tpl-t1-eq-JKL-s3,1,templated|triangle|equilateral,I need a drawing of an equilateral triangle JKL where every side has length 3. Label all three vertices.,J|K|L,1,equal_lengths
tpl-t1-eq-JKL-s4,1,templated|triangle|equilateral,Draw an equilateral triangle JKL where every side has length 4. Label all three vertices.,J|K|L,1,equal_lengths
tpl-t1-eq-JKL-s5,1,templated|triangle|equilateral,Sketch an equilateral triangle JKL where every side has length 5. Label all three vertices.,J|K|L,1,equal_lengths
tpl-t1-eq-MNO-s3,1,templated|triangle|equilateral,Construct an equilateral triangle MNO where every side has length 3. Label all three vertices.,M|N|O,1,equal_lengths
tpl-t1-eq-MNO-s4,1,templated|triangle|equilateral,Make a diagram of an equilateral triangle MNO where every side has length 4. Label all three vertices.,M|N|O,1,equal_lengths
tpl-t1-eq-MNO-s5,1,templated|triangle|equilateral,Show an equilateral triangle MNO where every side has length 5. Label all three vertices.,M|N|O,1,equal_lengths
tpl-t1-eq-PQR-s3,1,templated|triangle|equilateral,Create a diagram showing an equilateral triangle PQR where every side has length 3. Label all three vertices.,P|Q|R,1,equal_lengths
tpl-t1-eq-PQR-s4,1,templated|triangle|equilateral,I need a drawing of an equilateral triangle PQR where every side has length 4. Label all three vertices.,P|Q|R,1,equal_lengths
tpl-t1-eq-PQR-s5,1,templated|triangle|equilateral,Draw an equilateral triangle PQR where every side has length 5. Label all three vertices.,P|Q|R,1,equal_lengths
tpl-t1-eq-STU-s3,1,templated|triangle|equilateral,Sketch an equilateral triangle STU where every side has length 3. Label all three vertices.,S|T|U,1,equal_lengths
tpl-t1-eq-STU-s4,1,templated|triangle|equilateral,Construct an equilateral triangle STU where every side has length 4. Label all three vertices.,S|T|U,1,equal_lengths
tpl-t1-eq-STU-s5,1,templated|triangle|equilateral,Make a diagram of an equilateral triangle STU where every side has length 5. Label all three vertices.,S|T|U,1,equal_lengths
tpl-t1-eq-XYZ-s3,1,templated|triangle|equilateral,Show an equilateral triangle XYZ where every side has length 3. Label all three vertices.,X|Y|Z,1,equal_lengths
tpl-t1-eq-XYZ-s4,1,templated|triangle|equilateral,Create a diagram showing an equilateral triangle XYZ where every side has length 4. Label all three vertices.,X|Y|Z,1,equal_lengths
tpl-t1-eq-XYZ-s5,1,templated|triangle|equilateral,I need a drawing of an equilateral triangle XYZ where every side has length 5. Label all three vertices.,X|Y|Z,1,equal_lengths
tpl-t1-eq-EFG-s3,1,templated|triangle|equilateral,Draw an equilateral triangle EFG where every side has length 3. Label all three vertices.,E|F|G,1,equal_lengths
tpl-t1-eq-EFG-s4,1,templated|triangle|equilateral,Sketch an equilateral triangle EFG where every side has length 4. Label all three vertices.,E|F|G,1,equal_lengths
tpl-t1-eq-EFG-s5,1,templated|triangle|equilateral,Construct an equilateral triangle EFG where every side has length 5. Label all three vertices.,E|F|G,1,equal_lengths
tpl-t1-eq-RST-s3,1,templated|triangle|equilateral,Make a diagram of an equilateral triangle RST where every side has length 3. Label all three vertices.,R|S|T,1,equal_lengths
tpl-t1-eq-RST-s4,1,templated|triangle|equilateral,Show an equilateral triangle RST where every side has length 4. Label all three vertices.,R|S|T,1,equal_lengths
tpl-t1-eq-RST-s5,1,templated|triangle|equilateral,Create a diagram showing an equilateral triangle RST where every side has length 5. Label all three vertices.,R|S|T,1,equal_lengths
tpl-t1-eq-UVW-s3,1,templated|triangle|equilateral,I need a drawing of an equilateral triangle UVW where every side has length 3. Label all three vertices.,U|V|W,1,equal_lengths
tpl-t1-eq-UVW-s4,1,templated|triangle|equilateral,Draw an equilateral triangle UVW where every side has length 4. Label all three vertices.,U|V|W,1,equal_lengths
tpl-t1-eq-UVW-s5,1,templated|triangle|equilateral,Sketch an equilateral triangle UVW where every side has length 5. Label all three vertices.,U|V|W,1,equal_lengths
tpl-t1-iso-ABC-l5-b6,1,templated|triangle|isosceles,Draw an isosceles triangle ABC where AB and AC both have length 5 and the base BC has length 6. Label all three vertices.,A|B|C,1,equal_lengths
tpl-t1-iso-ABC-l6-b4,1,templated|triangle|isosceles,Sketch an isosceles triangle ABC where AB and AC both have length 6 and the base BC has length 4. Label all three vertices.,A|B|C,1,equal_lengths
tpl-t1-iso-ABC-l8-b6,1,templated|triangle|isosceles,Construct an isosceles triangle ABC where AB and AC both have length 8 and the base BC has length 6. Label all three vertices.,A|B|C,1,equal_lengths
tpl-t1-iso-DEF-l5-b6,1,templated|triangle|isosceles,Make a diagram of an isosceles triangle DEF where DE and DF both have length 5 and the base EF has length 6. Label all three vertices.,D|E|F,1,equal_lengths
tpl-t1-iso-DEF-l6-b4,1,templated|triangle|isosceles,Show an isosceles triangle DEF where DE and DF both have length 6 and the base EF has length 4. Label all three vertices.,D|E|F,1,equal_lengths
tpl-t1-iso-DEF-l8-b6,1,templated|triangle|isosceles,Create a diagram showing an isosceles triangle DEF where DE and DF both have length 8 and the base EF has length 6. Label all three vertices.,D|E|F,1,equal_lengths
tpl-t1-iso-JKL-l5-b6,1,templated|triangle|isosceles,I need a drawing of an isosceles triangle JKL where JK and JL both have length 5 and the base KL has length 6. Label all three vertices.,J|K|L,1,equal_lengths
tpl-t1-iso-JKL-l6-b4,1,templated|triangle|isosceles,Draw an isosceles triangle JKL where JK and JL both have length 6 and the base KL has length 4. Label all three vertices.,J|K|L,1,equal_lengths
tpl-t1-iso-JKL-l8-b6,1,templated|triangle|isosceles,Sketch an isosceles triangle JKL where JK and JL both have length 8 and the base KL has length 6. Label all three vertices.,J|K|L,1,equal_lengths
tpl-t1-iso-MNO-l5-b6,1,templated|triangle|isosceles,Construct an isosceles triangle MNO where MN and MO both have length 5 and the base NO has length 6. Label all three vertices.,M|N|O,1,equal_lengths
tpl-t1-iso-MNO-l6-b4,1,templated|triangle|isosceles,Make a diagram of an isosceles triangle MNO where MN and MO both have length 6 and the base NO has length 4. Label all three vertices.,M|N|O,1,equal_lengths
tpl-t1-iso-MNO-l8-b6,1,templated|triangle|isosceles,Show an isosceles triangle MNO where MN and MO both have length 8 and the base NO has length 6. Label all three vertices.,M|N|O,1,equal_lengths
tpl-t1-iso-PQR-l5-b6,1,templated|triangle|isosceles,Create a diagram showing an isosceles triangle PQR where PQ and PR both have length 5 and the base QR has length 6. Label all three vertices.,P|Q|R,1,equal_lengths
tpl-t1-iso-PQR-l6-b4,1,templated|triangle|isosceles,I need a drawing of an isosceles triangle PQR where PQ and PR both have length 6 and the base QR has length 4. Label all three vertices.,P|Q|R,1,equal_lengths
tpl-t1-iso-PQR-l8-b6,1,templated|triangle|isosceles,Draw an isosceles triangle PQR where PQ and PR both have length 8 and the base QR has length 6. Label all three vertices.,P|Q|R,1,equal_lengths
tpl-t1-iso-STU-l5-b6,1,templated|triangle|isosceles,Sketch an isosceles triangle STU where ST and SU both have length 5 and the base TU has length 6. Label all three vertices.,S|T|U,1,equal_lengths
tpl-t1-iso-STU-l6-b4,1,templated|triangle|isosceles,Construct an isosceles triangle STU where ST and SU both have length 6 and the base TU has length 4. Label all three vertices.,S|T|U,1,equal_lengths
tpl-t1-iso-STU-l8-b6,1,templated|triangle|isosceles,Make a diagram of an isosceles triangle STU where ST and SU both have length 8 and the base TU has length 6. Label all three vertices.,S|T|U,1,equal_lengths
tpl-t1-iso-XYZ-l5-b6,1,templated|triangle|isosceles,Show an isosceles triangle XYZ where XY and XZ both have length 5 and the base YZ has length 6. Label all three vertices.,X|Y|Z,1,equal_lengths
tpl-t1-iso-XYZ-l6-b4,1,templated|triangle|isosceles,Create a diagram showing an isosceles triangle XYZ where XY and XZ both have length 6 and the base YZ has length 4. Label all three vertices.,X|Y|Z,1,equal_lengths
tpl-t1-iso-XYZ-l8-b6,1,templated|triangle|isosceles,I need a drawing of an isosceles triangle XYZ where XY and XZ both have length 8 and the base YZ has length 6. Label all three vertices.,X|Y|Z,1,equal_lengths
tpl-t1-iso-EFG-l5-b6,1,templated|triangle|isosceles,Draw an isosceles triangle EFG where EF and EG both have length 5 and the base FG has length 6. Label all three vertices.,E|F|G,1,equal_lengths
tpl-t1-iso-EFG-l6-b4,1,templated|triangle|isosceles,Sketch an isosceles triangle EFG where EF and EG both have length 6 and the base FG has length 4. Label all three vertices.,E|F|G,1,equal_lengths
tpl-t1-iso-EFG-l8-b6,1,templated|triangle|isosceles,Construct an isosceles triangle EFG where EF and EG both have length 8 and the base FG has length 6. Label all three vertices.,E|F|G,1,equal_lengths
tpl-t1-iso-RST-l5-b6,1,templated|triangle|isosceles,Make a diagram of an isosceles triangle RST where RS and RT both have length 5 and the base ST has length 6. Label all three vertices.,R|S|T,1,equal_lengths
tpl-t1-iso-RST-l6-b4,1,templated|triangle|isosceles,Show an isosceles triangle RST where RS and RT both have length 6 and the base ST has length 4. Label all three vertices.,R|S|T,1,equal_lengths
tpl-t1-iso-RST-l8-b6,1,templated|triangle|isosceles,Create a diagram showing an isosceles triangle RST where RS and RT both have length 8 and the base ST has length 6. Label all three vertices.,R|S|T,1,equal_lengths
tpl-t1-iso-UVW-l5-b6,1,templated|triangle|isosceles,I need a drawing of an isosceles triangle UVW where UV and UW both have length 5 and the base VW has length 6. Label all three vertices.,U|V|W,1,equal_lengths
tpl-t1-iso-UVW-l6-b4,1,templated|triangle|isosceles,Draw an isosceles triangle UVW where UV and UW both have length 6 and the base VW has length 4. Label all three vertices.,U|V|W,1,equal_lengths
tpl-t1-iso-UVW-l8-b6,1,templated|triangle|isosceles,Sketch an isosceles triangle UVW where UV and UW both have length 8 and the base VW has length 6. Label all three vertices.,U|V|W,1,equal_lengths
tpl-t1-sq-ABCD-s3,1,templated|quadrilateral|square,Draw a square ABCD with side length 3. Label all four vertices in order.,A|B|C|D,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-ABCD-s4,1,templated|quadrilateral|square,Sketch a square ABCD with side length 4. Label all four vertices in order.,A|B|C|D,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-ABCD-s5,1,templated|quadrilateral|square,Construct a square ABCD with side length 5. Label all four vertices in order.,A|B|C|D,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-ABCD-s6,1,templated|quadrilateral|square,Make a diagram of a square ABCD with side length 6. Label all four vertices in order.,A|B|C|D,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-EFGH-s3,1,templated|quadrilateral|square,Show a square EFGH with side length 3. Label all four vertices in order.,E|F|G|H,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-EFGH-s4,1,templated|quadrilateral|square,Create a diagram showing a square EFGH with side length 4. Label all four vertices in order.,E|F|G|H,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-EFGH-s5,1,templated|quadrilateral|square,I need a drawing of a square EFGH with side length 5. Label all four vertices in order.,E|F|G|H,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-EFGH-s6,1,templated|quadrilateral|square,Draw a square EFGH with side length 6. Label all four vertices in order.,E|F|G|H,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-JKLM-s3,1,templated|quadrilateral|square,Sketch a square JKLM with side length 3. Label all four vertices in order.,J|K|L|M,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-JKLM-s4,1,templated|quadrilateral|square,Construct a square JKLM with side length 4. Label all four vertices in order.,J|K|L|M,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-JKLM-s5,1,templated|quadrilateral|square,Make a diagram of a square JKLM with side length 5. Label all four vertices in order.,J|K|L|M,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-JKLM-s6,1,templated|quadrilateral|square,Show a square JKLM with side length 6. Label all four vertices in order.,J|K|L|M,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-PQRS-s3,1,templated|quadrilateral|square,Create a diagram showing a square PQRS with side length 3. Label all four vertices in order.,P|Q|R|S,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-PQRS-s4,1,templated|quadrilateral|square,I need a drawing of a square PQRS with side length 4. Label all four vertices in order.,P|Q|R|S,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-PQRS-s5,1,templated|quadrilateral|square,Draw a square PQRS with side length 5. Label all four vertices in order.,P|Q|R|S,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-PQRS-s6,1,templated|quadrilateral|square,Sketch a square PQRS with side length 6. Label all four vertices in order.,P|Q|R|S,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-WXYZ-s3,1,templated|quadrilateral|square,Construct a square WXYZ with side length 3. Label all four vertices in order.,W|X|Y|Z,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-WXYZ-s4,1,templated|quadrilateral|square,Make a diagram of a square WXYZ with side length 4. Label all four vertices in order.,W|X|Y|Z,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
tpl-t1-sq-WXYZ-s5,1,templated|quadrilateral|square,Show a square WXYZ with side length 5. Label all four vertices in order.,W|X|Y|Z,5,right_angle|right_angle|right_angle|right_angle|equal_lengths
